epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.1567,2.13705,4.52124,1.90328,0.01688,0.07692,0.01135,0.00366,2.17011,4.49397,1.83764,0.00021435,7.145e-05,0.00021435,7.145e-05,0.00021435,7.145e-05,0.00021435,7.145e-05
2,42.4019,2.26759,4.93286,2.04071,0.01003,0.05128,0.01246,0.00349,2.09872,4.24145,1.80947,0.000462233,0.000154078,0.000462233,0.000154078,0.000462233,0.000154078,0.000462233,0.000154078
3,67.4599,2.1786,4.16262,1.9491,0.00629,0.15256,0.01107,0.00383,1.98585,3.91235,1.71597,0.00069993,0.00023331,0.00069993,0.00023331,0.00069993,0.00023331,0.00069993,0.00023331
4,91.2258,2.10531,3.91605,1.84051,0.00984,0.24615,0.02056,0.00881,1.96622,3.56165,1.67341,0.000927441,0.000309147,0.000927441,0.000309147,0.000927441,0.000309147,0.000927441,0.000309147
5,120.782,2.02239,3.47782,1.76577,0.12924,0.08462,0.05081,0.02345,1.96655,3.14263,1.62001,0.00114477,0.000381589,0.00114477,0.000381589,0.00114477,0.000381589,0.00114477,0.000381589
6,141.988,1.94832,2.97211,1.81226,0.30185,0.17325,0.17203,0.08271,1.94235,2.61355,1.58709,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635
7,172.863,1.83745,2.5322,1.74322,0.71936,0.27051,0.28876,0.1327,1.93536,2.04509,1.59277,0.00154886,0.000516286,0.00154886,0.000516286,0.00154886,0.000516286,0.00154886,0.000516286
8,197.462,1.91757,2.18068,1.6873,0.82237,0.27051,0.32914,0.16324,1.90603,1.86499,1.59745,0.00173563,0.000578542,0.00173563,0.000578542,0.00173563,0.000578542,0.00173563,0.000578542
9,226.229,1.7723,2.02884,1.63313,0.84893,0.26699,0.35062,0.18061,1.85647,1.74959,1.57463,0.00191221,0.000637403,0.00191221,0.000637403,0.00191221,0.000637403,0.00191221,0.000637403
10,251.019,1.76519,1.85378,1.61618,0.76413,0.39615,0.41467,0.21124,1.78082,1.63077,1.52856,0.0020786,0.000692868,0.0020786,0.000692868,0.0020786,0.000692868,0.0020786,0.000692868
11,275.784,1.70794,1.66498,1.60054,0.83375,0.39615,0.45128,0.2347,1.74919,1.6286,1.51077,0.00223481,0.000744938,0.00223481,0.000744938,0.00223481,0.000744938,0.00223481,0.000744938
12,298.056,1.68042,1.61258,1.54563,0.80037,0.46307,0.47375,0.24266,1.72498,1.61565,1.48429,0.00238084,0.000793612,0.00238084,0.000793612,0.00238084,0.000793612,0.00238084,0.000793612
13,321.025,1.67546,1.71933,1.61913,0.79215,0.48077,0.50596,0.2596,1.72115,1.56886,1.46246,0.00251667,0.000838892,0.00251667,0.000838892,0.00251667,0.000838892,0.00251667,0.000838892
14,341.04,1.60786,1.53701,1.51948,0.89922,0.4641,0.51752,0.26209,1.69346,1.44259,1.43398,0.00264233,0.000880776,0.00264233,0.000880776,0.00264233,0.000880776,0.00264233,0.000880776
15,361.175,1.61809,1.46584,1.51572,0.89922,0.4641,0.51752,0.26209,1.69346,1.44259,1.43398,0.00275779,0.000919264,0.00275779,0.000919264,0.00275779,0.000919264,0.00275779,0.000919264
16,380.277,1.56563,1.29715,1.4162,0.94319,0.50641,0.53754,0.2651,1.67919,1.33351,1.41485,0.00286307,0.000954358,0.00286307,0.000954358,0.00286307,0.000954358,0.00286307,0.000954358
17,399.235,1.62726,1.31021,1.47706,0.95192,0.5431,0.56565,0.29067,1.64188,1.24017,1.369,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,423.972,1.59152,1.24448,1.38406,0.96301,0.57654,0.60127,0.29459,1.6515,1.1562,1.35627,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,443.855,1.51304,1.21957,1.43336,0.96301,0.57654,0.60127,0.29459,1.6515,1.1562,1.35627,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,467.328,1.58395,1.18119,1.42015,0.99497,0.57266,0.60903,0.30852,1.64944,1.08751,1.33328,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,486.188,1.53752,1.13394,1.38919,0.96676,0.58205,0.61237,0.31993,1.64817,1.02013,1.31526,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,505.546,1.46289,1.06701,1.37624,0.99145,0.58205,0.61564,0.32388,1.63915,0.97733,1.30285,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,522.59,1.49293,1.06395,1.38476,0.99145,0.58205,0.61564,0.32388,1.63915,0.97733,1.30285,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,541.595,1.48602,1.03353,1.34044,0.99094,0.58205,0.62145,0.32959,1.62273,0.95664,1.29354,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,559.457,1.47121,1.08189,1.35021,0.99095,0.60769,0.62517,0.33173,1.61816,0.94153,1.29243,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,577.907,1.48578,1.03735,1.40039,0.99282,0.60769,0.62546,0.33515,1.61623,0.91679,1.28963,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,597.685,1.46718,0.97901,1.29925,0.99282,0.60769,0.62546,0.33515,1.61623,0.91679,1.28963,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,619.422,1.42831,0.8859,1.29679,0.99374,0.60769,0.62646,0.33901,1.59772,0.88802,1.27891,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,640.257,1.41361,0.96879,1.31863,0.99617,0.60769,0.62674,0.3416,1.58496,0.88109,1.27236,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,661.925,1.36537,0.95092,1.26507,0.99491,0.60467,0.62645,0.34301,1.5827,0.87584,1.26742,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,680.687,1.38062,0.87904,1.29219,0.99491,0.60467,0.62645,0.34301,1.5827,0.87584,1.26742,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,700.403,1.36916,0.87674,1.31071,0.99284,0.60416,0.6221,0.34544,1.56758,0.86134,1.26582,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,717.313,1.42938,0.87705,1.27484,0.99453,0.60267,0.62147,0.3461,1.56567,0.85527,1.26332,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,747.386,1.38464,0.84888,1.2648,0.99621,0.60326,0.62098,0.34081,1.56288,0.84419,1.25989,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,763.089,1.35816,0.86568,1.25773,0.99621,0.60326,0.62098,0.34081,1.56288,0.84419,1.25989,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,779.53,1.37665,0.81466,1.27773,0.997,0.60494,0.62224,0.34463,1.56274,0.82732,1.25613,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,795.09,1.41713,0.90933,1.31673,0.99781,0.60525,0.62176,0.34478,1.56239,0.83007,1.25161,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,811.98,1.32316,0.80195,1.27137,0.99829,0.60579,0.62515,0.34368,1.55265,0.82257,1.24392,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,828.647,1.30899,0.78708,1.26004,0.99829,0.60579,0.62515,0.34368,1.55265,0.82257,1.24392,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,847.573,1.32845,0.78713,1.23268,0.99845,0.60769,0.62754,0.34799,1.54024,0.81017,1.23655,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,889.726,1.35685,0.88345,1.27538,0.99642,0.60769,0.63199,0.35234,1.5395,0.80676,1.23399,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,903.36,1.31902,0.83458,1.23807,0.99708,0.60769,0.63685,0.36229,1.535,0.81063,1.23297,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,919.715,1.31486,0.83121,1.26039,0.99708,0.60769,0.63685,0.36229,1.535,0.81063,1.23297,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,937.06,1.32594,0.80901,1.22631,0.99481,0.60769,0.65896,0.37834,1.52563,0.81233,1.22942,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,952.833,1.2934,0.80838,1.20154,0.99368,0.60769,0.6833,0.39557,1.52155,0.80842,1.22831,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,974.483,1.31986,0.76534,1.2696,0.9942,0.60769,0.69743,0.40995,1.51528,0.79935,1.2242,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,996.111,1.32541,0.8567,1.24677,0.9942,0.60769,0.69743,0.40995,1.51528,0.79935,1.2242,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,1013.6,1.33558,0.81783,1.26495,0.99394,0.60769,0.6971,0.4093,1.51547,0.79999,1.21978,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,1029.28,1.27034,0.77008,1.21411,0.99285,0.60769,0.72458,0.42161,1.50915,0.79343,1.21561,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,1048.26,1.25543,0.80592,1.2198,0.99268,0.60769,0.72623,0.42392,1.5096,0.7938,1.21376,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
